,llama-2-7b,llama-2-13b,llama-2-70b,flan-t5-3b,flan-t5-11b,falcon-7b,falcon-40b,vicuna-7b,vicuna-13b,vicuna-33b,mistral,mixtral,llms4ol,claude-3,gpt-3.5,gpt-4
google,0.852 ,0.009 ,0.005 ,0.000 ,0.000 ,0.000 ,0.634 ,0.000 ,0.078 ,0.000 ,0.449 ,0.001 ,0.000 ,0.090 ,0.077 ,0.007 
amazon,0.926 ,0.025 ,0.009 ,0.000 ,0.000 ,0.000 ,0.753 ,0.000 ,0.116 ,0.000 ,0.525 ,0.003 ,0.000 ,0.224 ,0.207 ,0.040 
icd,0.871 ,0.107 ,0.068 ,0.000 ,0.000 ,0.001 ,0.565 ,0.000 ,0.226 ,0.034 ,0.506 ,0.031 ,0.000 ,0.042 ,0.148 ,0.004 
ccs,0.963 ,0.032 ,0.005 ,0.000 ,0.000 ,0.000 ,0.960 ,0.000 ,0.040 ,0.001 ,0.513 ,0.102 ,0.000 ,0.138 ,0.293 ,0.009 
ncbi,1.000 ,0.414 ,0.271 ,0.000 ,0.000 ,0.000 ,0.986 ,0.000 ,0.521 ,0.200 ,0.839 ,0.320 ,0.000 ,0.474 ,0.460 ,0.093 
glottolog,0.999 ,0.802 ,0.627 ,0.000 ,0.000 ,0.000 ,0.984 ,0.000 ,0.667 ,0.410 ,0.889 ,0.332 ,0.000 ,0.740 ,0.426 ,0.192 
schema,0.999 ,0.039 ,0.001 ,0.000 ,0.000 ,0.000 ,0.996 ,0.000 ,0.155 ,0.001 ,0.789 ,0.008 ,0.000 ,0.589 ,0.368 ,0.173 
oae,0.995 ,0.129 ,0.033 ,0.000 ,0.000 ,0.000 ,0.986 ,0.000 ,0.468 ,0.001 ,0.578 ,0.019 ,0.000 ,0.150 ,0.364 ,0.029 
ebay,0.790 ,0.002 ,0.000 ,0.000 ,0.000 ,0.000 ,0.581 ,0.000 ,0.043 ,0.000 ,0.375 ,0.000 ,0.000 ,0.031 ,0.041 ,0.000 
geonames,0.990 ,0.004 ,0.000 ,0.000 ,0.000 ,0.000 ,0.839 ,0.000 ,0.098 ,0.000 ,0.624 ,0.012 ,0.000 ,0.128 ,0.110 ,0.002 
