,llama-2-7b,llama-2-13b,llama-2-70b,flan-t5-3b,flan-t5-11b,falcon-7b,falcon-40b,vicuna-7b,vicuna-13b,vicuna-33b,mistral,mixtral,llms4ol,claude-3,gpt-3.5,gpt-4
google,0.836 ,0.006 ,0.003 ,0.000 ,0.000 ,0.000 ,0.569 ,0.000 ,0.019 ,0.000 ,0.278 ,0.000 ,0.000 ,0.112 ,0.057 ,0.010 
amazon,0.920 ,0.006 ,0.003 ,0.000 ,0.000 ,0.000 ,0.724 ,0.000 ,0.043 ,0.000 ,0.432 ,0.000 ,0.000 ,0.261 ,0.184 ,0.044 
icd,0.860 ,0.035 ,0.035 ,0.000 ,0.000 ,0.000 ,0.504 ,0.000 ,0.064 ,0.002 ,0.430 ,0.012 ,0.000 ,0.051 ,0.111 ,0.002 
ccs,0.956 ,0.016 ,0.004 ,0.000 ,0.000 ,0.000 ,0.953 ,0.000 ,0.019 ,0.001 ,0.357 ,0.046 ,0.000 ,0.100 ,0.235 ,0.012 
ncbi,1.000 ,0.367 ,0.249 ,0.000 ,0.000 ,0.000 ,0.985 ,0.001 ,0.446 ,0.177 ,0.805 ,0.182 ,0.000 ,0.445 ,0.383 ,0.137 
glottolog,0.999 ,0.750 ,0.602 ,0.000 ,0.000 ,0.000 ,0.982 ,0.000 ,0.598 ,0.394 ,0.874 ,0.248 ,0.000 ,0.712 ,0.402 ,0.209 
schema,0.999 ,0.022 ,0.000 ,0.000 ,0.000 ,0.000 ,0.994 ,0.000 ,0.089 ,0.004 ,0.771 ,0.010 ,0.000 ,0.594 ,0.335 ,0.188 
oae,0.995 ,0.067 ,0.029 ,0.000 ,0.000 ,0.000 ,0.984 ,0.000 ,0.369 ,0.001 ,0.541 ,0.013 ,0.000 ,0.214 ,0.305 ,0.031 
ebay,0.782 ,0.000 ,0.002 ,0.000 ,0.000 ,0.000 ,0.559 ,0.000 ,0.003 ,0.000 ,0.292 ,0.000 ,0.000 ,0.064 ,0.033 ,0.002 
geonames,0.990 ,0.004 ,0.000 ,0.000 ,0.000 ,0.000 ,0.835 ,0.000 ,0.098 ,0.000 ,0.624 ,0.012 ,0.000 ,0.128 ,0.110 ,0.002 
