,llama-2-7b,llama-2-13b,llama-2-70b,llama-3-8b,llama-3-70b,flan-t5-3b,flan-t5-11b,falcon-7b,falcon-40b,vicuna-7b,vicuna-13b,vicuna-33b,mistral,mixtral,llms4ol,claude-3,gpt-3.5,gpt-4
google,0.83,0.004,0.001,0.000 ,0.035 ,0,0,0,0.607,0,0.068,0,0.442,0.004,0,0.072,0.051,0.009
amazon,0.917,0.015,0.004,0.000 ,0.101 ,0,0,0,0.711,0,0.095,0,0.498,0.002,0,0.199,0.157,0.042
icd,0.856,0.075,0.051,0.021 ,0.057 ,0,0,0,0.508,0,0.215,0.017,0.503,0.029,0,0.029,0.11,0.001
ccs,0.951,0.016,0.005,0.000 ,0.092 ,0,0,0,0.965,0,0.037,0,0.498,0.128,0,0.136,0.211,0.011
ncbi,0.999,0.311,0.177,0.010 ,0.371 ,0,0,0,0.986,0.002,0.501,0.238,0.809,0.361,0,0.483,0.394,0.082
glottolog,0.998,0.761,0.546,0.074 ,0.604 ,0,0,0,0.977,0,0.597,0.417,0.859,0.359,0,0.72,0.342,0.155
schema,0.999,0.024,0.001,0.000 ,0.548 ,0,0,0,0.992,0,0.13,0.007,0.761,0.017,0,0.603,0.298,0.218
oae,0.995,0.092,0.02,0.000 ,0.146 ,0,0,0,0.988,0,0.46,0.001,0.572,0.021,0,0.097,0.233,0.03
ebay,0.738,0,0,0.000 ,0.005 ,0,0,0,0.526,0,0.035,0,0.368,0,0,0.028,0.028,0.003
geonames,0.99,0.002,0,0.000 ,0.035 ,0,0,0,0.837,0,0.098,0,0.695,0.008,0,0.154,0.091,0
